v_air,rh,t_monthly,season,optimal_t_set,pmv_hat
0.5,50.0,45.0,Spring,25.5,0.062126386910676956
0.5,50.0,45.0,Autumn,25.5,0.0645814910531044
0.5,55.0,10.0,Summer,26.5,0.13210725784301758
0.5,55.0,10.0,Winter,26.5,0.01299087330698967
0.5,55.0,10.0,Spring,26.5,0.025481348857283592
0.5,55.0,10.0,Autumn,26.0,-0.015178997069597244
0.5,55.0,15.0,Summer,26.5,0.1079346090555191
0.5,55.0,15.0,Winter,26.0,-0.015620376914739609
0.5,55.0,15.0,Spring,26.5,0.040123745799064636
0.5,55.0,15.0,Autumn,26.0,-0.016087178140878677
0.5,55.0,20.0,Summer,26.5,0.12477760016918182
0.5,55.0,20.0,Winter,26.0,-0.022564638406038284
0.5,55.0,20.0,Spring,26.0,0.030247095972299576
0.5,55.0,20.0,Autumn,26.5,0.07540035247802734
0.5,55.0,25.0,Summer,26.0,-0.08410570025444031
0.5,55.0,25.0,Winter,26.0,-0.04446129873394966
0.5,55.0,25.0,Spring,26.0,0.05915191024541855
0.5,55.0,25.0,Autumn,26.5,0.09359189122915268
0.5,55.0,30.0,Summer,26.0,0.0010617226362228394
0.5,55.0,30.0,Winter,26.0,0.002977874130010605
0.5,55.0,30.0,Spring,26.0,0.09616407006978989
0.5,55.0,30.0,Autumn,26.0,-0.1308143585920334
0.5,55.0,35.0,Summer,26.0,0.13040691614151
0.5,55.0,35.0,Winter,26.0,0.05188238248229027
0.5,55.0,35.0,Spring,25.5,-0.05499468371272087
0.5,55.0,35.0,Autumn,26.0,-0.05088013783097267
0.5,55.0,40.0,Summer,25.5,-0.029714230448007584
0.5,55.0,40.0,Winter,25.5,0.05004590377211571
0.5,55.0,40.0,Spring,25.5,0.04337519034743309
0.5,55.0,40.0,Autumn,25.5,-0.12682177126407623
0.5,55.0,45.0,Summer,25.0,-0.0906280130147934
0.5,55.0,45.0,Winter,25.0,0.017656048759818077
0.5,55.0,45.0,Spring,25.0,-0.0312037356197834
0.5,55.0,45.0,Autumn,25.0,-0.06943358480930328
0.5,60.0,10.0,Summer,26.0,-0.0540170781314373
0.5,60.0,10.0,Winter,26.0,0.044625211507081985
0.5,60.0,10.0,Spring,26.0,0.03590941056609154
0.5,60.0,10.0,Autumn,25.5,-0.06584432721138
0.5,60.0,15.0,Summer,26.0,-0.0835174173116684
0.5,60.0,15.0,Winter,26.0,0.009448852390050888
0.5,60.0,15.0,Spring,26.0,0.049066826701164246
0.5,60.0,15.0,Autumn,25.5,-0.08110456168651581
0.5,60.0,20.0,Summer,26.0,-0.07140874862670898
0.5,60.0,20.0,Winter,26.0,-0.021790381520986557
0.5,60.0,20.0,Spring,25.5,-0.023756619542837143
0.5,60.0,20.0,Autumn,26.0,-0.0008276291191577911
0.5,60.0,25.0,Summer,26.0,-0.05349646136164665
0.5,60.0,25.0,Winter,26.0,-0.0523873008787632
0.5,60.0,25.0,Spring,25.5,-0.0184161476790905
0.5,60.0,25.0,Autumn,26.0,-0.11803340911865234
0.5,60.0,30.0,Summer,26.0,-0.005966268479824066
0.5,60.0,30.0,Winter,26.0,-0.0069947801530361176
0.5,60.0,30.0,Spring,26.0,0.07742491364479065
0.5,60.0,30.0,Autumn,26.0,-0.10559648275375366
0.5,60.0,35.0,Summer,26.0,0.1269848793745041
0.5,60.0,35.0,Winter,26.0,0.0644293874502182
0.5,60.0,35.0,Spring,25.5,-0.002981707453727722
0.5,60.0,35.0,Autumn,26.0,-0.024600449949502945
0.5,60.0,40.0,Summer,25.5,0.06812279671430588
0.5,60.0,40.0,Winter,25.5,0.026650749146938324
0.5,60.0,40.0,Spring,25.0,-0.054853882640600204
0.5,60.0,40.0,Autumn,25.5,-0.06688140332698822
0.5,60.0,45.0,Summer,25.0,-0.0319187231361866
0.5,60.0,45.0,Winter,25.0,0.03717563673853874
0.5,60.0,45.0,Spring,25.0,-0.0018172860145568848
0.5,60.0,45.0,Autumn,25.0,-0.1072637140750885
1.0,40.0,10.0,Summer,27.0,-0.5545050501823425
1.0,40.0,10.0,Winter,27.0,-0.8311298489570618
1.0,40.0,10.0,Spring,27.0,-0.8094812631607056
1.0,40.0,10.0,Autumn,27.0,-0.3945457637310028
1.0,40.0,15.0,Summer,27.0,-0.38008105754852295
1.0,40.0,15.0,Winter,27.0,-0.4658096134662628
1.0,40.0,15.0,Spring,27.0,-0.3981555998325348
1.0,40.0,15.0,Autumn,27.0,-0.24793896079063416
1.0,40.0,20.0,Summer,27.0,-0.24319696426391602
1.0,40.0,20.0,Winter,27.0,-0.2477269172668457
1.0,40.0,20.0,Spring,27.0,-0.1737515777349472
1.0,40.0,20.0,Autumn,27.0,-0.14560221135616302
1.0,40.0,25.0,Summer,27.0,-0.11720213294029236
1.0,40.0,25.0,Winter,27.0,-0.09111064672470093
1.0,40.0,25.0,Spring,27.0,-0.10951657593250275
1.0,40.0,25.0,Autumn,27.0,-0.06463257968425751
1.0,40.0,30.0,Summer,27.0,0.013453926891088486
1.0,40.0,30.0,Winter,27.0,0.0642865002155304
1.0,40.0,30.0,Spring,27.0,-0.08453235030174255
1.0,40.0,30.0,Autumn,27.0,-0.018604416400194168
1.0,40.0,35.0,Summer,26.5,-0.06187451258301735
1.0,40.0,35.0,Winter,26.5,0.06363680958747864
1.0,40.0,35.0,Spring,27.0,0.06836037337779999
1.0,40.0,35.0,Autumn,27.0,0.021349648013710976
1.0,40.0,40.0,Summer,26.5,0.01594962365925312
1.0,40.0,40.0,Winter,26.5,0.04256719350814819
1.0,40.0,40.0,Spring,26.5,-0.09704406559467316
1.0,40.0,40.0,Autumn,27.0,0.0507708415389061
1.0,40.0,45.0,Summer,26.5,0.06216905266046524
1.0,40.0,45.0,Winter,26.5,0.031402796506881714
1.0,40.0,45.0,Spring,26.5,-0.012893501669168472
1.0,40.0,45.0,Autumn,27.0,0.10773614794015884
1.0,45.0,10.0,Summer,27.0,-0.4238271713256836
1.0,45.0,10.0,Winter,27.0,-0.5738762021064758
1.0,45.0,10.0,Spring,26.0,-0.6650458574295044
1.0,45.0,10.0,Autumn,27.0,-0.31508952379226685
1.0,45.0,15.0,Summer,27.0,-0.2620565593242645
1.0,45.0,15.0,Winter,27.0,-0.24662885069847107
1.0,45.0,15.0,Spring,27.0,-0.2407395839691162
1.0,45.0,15.0,Autumn,27.0,-0.1583707332611084
1.0,45.0,20.0,Summer,27.0,-0.20160110294818878
1.0,45.0,20.0,Winter,27.0,-0.06925413012504578
1.0,45.0,20.0,Spring,27.0,-0.1312047392129898
1.0,45.0,20.0,Autumn,27.0,-0.05574678257107735
1.0,45.0,25.0,Summer,27.0,-0.06849370896816254
1.0,45.0,25.0,Winter,27.0,0.006702505052089691
1.0,45.0,25.0,Spring,27.0,-0.05229848250746727
1.0,45.0,25.0,Autumn,27.0,0.023577218875288963
1.0,45.0,30.0,Summer,27.0,0.11943934857845306
1.0,45.0,30.0,Winter,26.5,-0.05999916419386864
1.0,45.0,30.0,Spring,27.0,0.07052606344223022
1.0,45.0,30.0,Autumn,27.0,0.0872487872838974
1.0,45.0,35.0,Summer,26.5,0.06319376826286316
1.0,45.0,35.0,Winter,26.5,0.09191098809242249
1.0,45.0,35.0,Spring,26.5,-0.08431693911552429
1.0,45.0,35.0,Autumn,26.5,-0.08025677502155304
1.0,45.0,40.0,Summer,26.0,-0.15488280355930328
1.0,45.0,40.0,Winter,26.0,-0.08530130982398987
1.0,45.0,40.0,Spring,26.5,0.016126850619912148
1.0,45.0,40.0,Autumn,26.5,-0.05879395082592964
1.0,45.0,45.0,Summer,26.0,-0.08065447211265564
1.0,45.0,45.0,Winter,26.0,-0.06921741366386414
1.0,45.0,45.0,Spring,26.0,-0.06726942956447601
1.0,45.0,45.0,Autumn,26.5,-0.024585101753473282
1.0,50.0,10.0,Summer,27.0,-0.3059399724006653
1.0,50.0,10.0,Winter,27.0,-0.2406582236289978
1.0,50.0,10.0,Spring,27.0,-0.397489994764328
1.0,50.0,10.0,Autumn,27.0,-0.19592760503292084
1.0,50.0,15.0,Summer,27.0,-0.2085249125957489
1.0,50.0,15.0,Winter,27.0,-0.04391442611813545
1.0,50.0,15.0,Spring,27.0,-0.18117325007915497
1.0,50.0,15.0,Autumn,27.0,-0.10113012790679932
1.0,50.0,20.0,Summer,27.0,-0.10913260281085968
1.0,50.0,20.0,Winter,27.0,0.02550669014453888
1.0,50.0,20.0,Spring,27.0,-0.07379677891731262
1.0,50.0,20.0,Autumn,27.0,0.013347603380680084
1.0,50.0,25.0,Summer,27.0,0.01809907890856266
1.0,50.0,25.0,Winter,27.0,0.05345364287495613
1.0,50.0,25.0,Spring,27.0,0.035394418984651566
1.0,50.0,25.0,Autumn,27.0,0.13887707889080048
1.0,50.0,30.0,Summer,26.5,-0.0633104145526886
1.0,50.0,30.0,Winter,26.5,-0.005151763558387756
1.0,50.0,30.0,Spring,26.5,-0.034536685794591904
1.0,50.0,30.0,Autumn,26.5,-0.027395781129598618
1.0,50.0,35.0,Summer,26.0,-0.1363227665424347
1.0,50.0,35.0,Winter,26.0,-0.08336547017097473
1.0,50.0,35.0,Spring,26.5,0.05421805754303932
1.0,50.0,35.0,Autumn,26.5,0.06119687855243683
1.0,50.0,40.0,Summer,26.0,-0.04706687852740288
1.0,50.0,40.0,Winter,26.0,-0.03647766634821892
1.0,50.0,40.0,Spring,26.0,-0.05884687229990959
1.0,50.0,40.0,Autumn,26.5,0.09725028276443481
1.0,50.0,45.0,Summer,26.0,-0.026111628860235214
1.0,50.0,45.0,Winter,26.0,-0.018870923668146133
1.0,50.0,45.0,Spring,26.0,0.07062438130378723
1.0,50.0,45.0,Autumn,26.5,0.09230690449476242
1.0,55.0,10.0,Summer,27.0,-0.1858685165643692
1.0,55.0,10.0,Winter,27.0,-0.011264514178037643
1.0,55.0,10.0,Spring,27.0,-0.20007987320423126
1.0,55.0,10.0,Autumn,27.0,-0.12729884684085846
1.0,55.0,15.0,Summer,27.0,-0.11550840735435486
1.0,55.0,15.0,Winter,27.0,0.1207989901304245
1.0,55.0,15.0,Spring,27.0,-0.07184697687625885
1.0,55.0,15.0,Autumn,27.0,-0.09237699210643768
1.0,55.0,20.0,Summer,27.0,0.005215946584939957
1.0,55.0,20.0,Winter,26.5,-0.07961398363113403
1.0,55.0,20.0,Spring,27.0,0.02792803756892681
1.0,55.0,20.0,Autumn,27.0,0.03979932516813278
1.0,55.0,25.0,Summer,27.0,0.13106589019298553
1.0,55.0,25.0,Winter,26.5,-0.013524126261472702
1.0,55.0,25.0,Spring,26.5,-0.13309839367866516
1.0,55.0,25.0,Autumn,26.5,-0.05598539486527443
1.0,55.0,30.0,Summer,26.5,0.08415181934833527
1.0,55.0,30.0,Winter,26.5,0.0681300237774849
1.0,55.0,30.0,Spring,26.5,0.11034710705280304
1.0,55.0,30.0,Autumn,26.5,0.14251388609409332
1.0,55.0,35.0,Summer,26.0,0.019669704139232635
1.0,55.0,35.0,Winter,26.0,0.0014345534145832062
1.0,55.0,35.0,Spring,26.0,-0.01278892531991005
1.0,55.0,35.0,Autumn,26.0,-0.04532191529870033
1.0,55.0,40.0,Summer,26.0,0.08483971655368805
1.0,55.0,40.0,Winter,26.0,0.030302073806524277
1.0,55.0,40.0,Spring,26.0,0.07305891811847687
1.0,55.0,40.0,Autumn,26.0,-0.0013201572000980377
1.0,55.0,45.0,Summer,26.0,0.057026207447052
1.0,55.0,45.0,Winter,26.0,0.051134392619132996
1.0,55.0,45.0,Spring,25.5,-0.03853033855557442
1.0,55.0,45.0,Autumn,26.0,-0.00032636523246765137
1.0,60.0,10.0,Summer,27.0,-0.06208701804280281
1.0,60.0,10.0,Winter,26.5,-0.07068535685539246
1.0,60.0,10.0,Spring,27.0,0.011818889528512955
1.0,60.0,10.0,Autumn,27.0,-0.09264397621154785
1.0,60.0,15.0,Summer,27.0,0.024306965991854668
1.0,60.0,15.0,Winter,26.5,-0.011289410293102264
1.0,60.0,15.0,Spring,27.0,0.034617986530065536
1.0,60.0,15.0,Autumn,27.0,-0.03130907192826271
1.0,60.0,20.0,Summer,26.5,-0.14835457503795624
1.0,60.0,20.0,Winter,26.5,0.03618711978197098
1.0,60.0,20.0,Spring,26.5,-0.09245386719703674
1.0,60.0,20.0,Autumn,27.0,0.08436646312475204
1.0,60.0,25.0,Summer,26.5,-0.02129659429192543
1.0,60.0,25.0,Winter,26.5,0.04469819366931915
1.0,60.0,25.0,Spring,26.5,0.04935071989893913
1.0,60.0,25.0,Autumn,26.5,0.0356968529522419
1.0,60.0,30.0,Summer,26.0,-0.027561035007238388
